	1-2	1-4	1-6	1-7	2-9	2-10	2-12	2-14	3-16	3-19	3-21	3-24	4-26	4-29	4-31
H9FYQ0|SLC12A2	-0.1429857581309552	-0.132964644148777	0.11752330348249265	-0.1778090588425637	-0.06906757329515262	-0.11514787258552123	0.011766495099957391	-0.05976121466052024	0.04419411450031649	-0.08114763158996727	0.0	-0.17009076177349836	0.01591223896574133	-0.04366869597775996	-0.01689028120229457
F6WTW1|VDAC3	-0.39691239595684547	-0.3995221165462681	-0.4061920084121229	-0.4177165994747251	-0.33654788416013864	-0.4564702182661899	-0.413725361816053	-0.4250456787422646	-0.4647210655922949	-0.457296117475216	-0.4105997995605684	-0.39921253211716146	-0.405292515681132	-0.48283446614949554	-0.3480505195961211
G7NNN2|EHD2	0.06395624956789972	-0.09106069068687883	0.018513297651327087	0.033075612838877014	0.06969649666069913	0.06819177218715194	0.1050386492283013	-0.03689284242705973	-0.009269297867542964	0.04658433541732279	0.06644736199370029	-0.009312033515689322	0.03165088640789181	0.14227518282992813	0.06965616645870709
F7CA88|LOC720791	0.12152153710171412	0.13153517068951553	0.15147063540583036	0.0832054726103371	0.16004702429660497	0.16420437917436936	0.14238816417127928	0.11617753054947544	0.15740472494830754	0.09540904401905495	0.04334321098085171	0.17815220523411793	0.0891873343054151	0.12609990728120365	-0.1737782623100385
A0A5F8AKU0|GFER	-0.7250039822365676	-0.5538787097642901	-0.5275601896762343	-0.7342914598678808	-0.5856238324040128	-0.5230679669952136	-0.49464535719962033	-0.5451880418307621	-0.6163194192280166	-0.5601889992951614	-0.5618153956930035	-0.6844508176753427	-0.5001688462468012	-0.5652966263414686	-0.43428937053357775
F7C4B0|ABI1	0.21186803919796812	0.17126144900512646	-0.022804580529446797	0.14502705770965596	0.05576953861862152	0.07070299134320171	-0.005260516460695336	0.011660822681480304	-0.0013205447520520386	0.054204221304919004	0.04979823311815125	0.12685627955042622	0.07786215153602731	0.02504405410625435	0.1525627113887965
G7N7F2|SHMT2	-0.9360437504321002	-0.8758068046516525	-0.829483608903623	-0.9117501339956009	-0.9040833131231109	-0.860700962588451	-0.8027676525619523	-0.8412480509474454	-0.8249510065224868	-0.8116354308537435	-0.801035325606334	-0.9453557839477895	-0.8675964892808118	-0.8162581998746874	-0.8805456004231417
A0A1D5R971|ILK	-0.20778608815124558	-0.2315580981989823	-0.21796289669959135	-0.2878718351040396	-0.23968634490754956	-0.26540791068648495	-0.22699432329545666	-0.3271410907702783	-0.20685707020351968	-0.1879558225597336	-0.1740977788086846	-0.2404054951590039	-0.19531426471838043	-0.024096951466356556	-0.06731411202886842
F6TYZ5|RNPEP	0.0	-0.010736384737761048	0.06505588358835704	0.022573691736030174	0.13015173494119778	0.10295719034782858	0.032450649271695164	-0.02625541144480309	0.009210122740117455	-0.08812055497993869	-0.03372512244413242	0.07240849552804979	0.05622450227758406	0.030402259117448635	-0.07466356776441328
A0A5F7ZAE4|NMRAL1	-0.01206161727687767	0.02386866091517599	-0.07512177445990328	-0.018859027251315885	0.007912424079585673	-0.00660273482424692	0.007854983329562831	-0.0679197380476841	0.03391663530448935	-0.10216832946557149	-0.001333976092165165	0.08246216019197275	-0.017438646106324826	0.015619041316985799	-0.03111815826175117
F7GZA4|OMG	0.12029423371771195	-0.035189428462300054	0.009286344969735516	0.16187272914757922	-0.08721492000541221	0.16302810920224575	0.3010363526257658	-0.21116180442552973	0.24019559963528597	-0.2398130240205399	0.2603652190578094	-0.1641353558311473	0.2780672207912684	-0.06208331567625808	0.48402683187271417
I0FJB7|NDUFA5	-0.13563630239541033	-0.1806613861800734	-0.16626966251809855	-0.009398698002249753	-0.3265637955875165	-0.23098188363677694	-0.1712383333863448	-0.16667641857703228	-0.11536722656554751	-0.13068101720798445	-0.04193782986463704	-0.19871959235208048	-0.1831523799168735	-0.08218088503330769	0.14498949168399566
H9FZ75|TSNAX	-0.03102689562062437	-0.19742823675948018	0.11629600009849048	-0.051773649724051005	0.13978579438757818	0.08319393552639864	0.10381757844792625	0.005194227180249533	-0.045590811679568216	0.15568075941553666	0.06644736199370029	0.017135912314029417	0.20476096600285487	0.08291743060582574	0.3953128457682357
A0A5F7ZEI4|PBXIP1	-0.01610467001415966	-0.031085030129563346	-0.005333444303040669	-0.0783743118747042	0.05194782766621328	-0.052321035130082225	-0.050766730034466356	0.028339563828110537	0.011830822899253135	0.027356662439997376	-0.08796293775112003	0.06101374092793782	0.0	0.12108619227554507	-0.002801350474139881
F7ASA7|KCNQ2	0.30231025735432293	0.350785605214081	0.206717032811948	0.2943649987551862	0.19396683253864114	0.24979857867709981	0.7077924577611826	0.7035385273191483	0.3704680646620348	0.8247223751821517	0.5625669091011615	0.387257105276143	0.31390567361717114	0.7525846354831919	1.026344995185377
A0A5F7Z9S3|CNNM1	-0.1066072537838782	-0.07407095509520858	-0.03912175775932426	-0.08545677598033968	-0.12420912748761381	-0.04550621357377102	0.07668918005724074	-0.13490407252255282	-0.007941460644595486	-0.09512734408499789	-0.05019755685857036	-0.11591928729956752	0.035558866334894565	0.10467022913411372	0.06832219036654193
F7H2A5|PFN1	-0.25797184531946243	-0.14622074085104386	-0.32392582662714675	-0.20840819190074678	-0.3482839922111074	-0.29258413330521793	-0.3387633041348309	-0.35183128334730973	-0.2532997620768502	-0.3937154230417783	-0.28182325797305524	-0.2720795454368009	-0.44467373365509755	-0.29186014119161324	-0.4155040134432608
A0A1D5R1P2|TMED10	-0.7562227128472878	-0.7047917426807991	-0.5314022559706284	-0.7703607145754027	-0.6547238441863936	-0.7130108620144835	-0.6487050369386079	-0.6191886232745389	-0.756455783679397	-0.5486010250199496	-0.646942883438557	-0.767790720303345	-0.5756590458310648	-0.616716717666277	-0.1992569826269613
F6QIP2|OGA	0.06012099243757091	-0.012084068199507483	-0.025511326240671137	0.15947821400719647	0.17300721390299503	0.1512123589550497	0.03885409982376978	0.13880383482569342	-0.06065468413445427	-0.015868483071351233	-0.11370049916472831	0.07240849552804979	-0.06128460501358978	-0.1306917582151255	-0.1014359965943579
F6TWG7|FN3K	0.10548457373856823	0.03304530729015233	-0.006669891865854802	0.026520876252693185	0.060849455982974615	0.03899413161586368	0.04395647487128457	-0.04760928940518808	0.0	0.1354696207141312	0.0891873343054151	0.03924163159285071	0.15413489293288668	0.13109625873692174	0.32108826074650876
